interactions_raw,interactions_after_dedup,duplicates_removed,timestamp_normalisation,users_canonical,items_canonical,dataset,raw_file,raw_sha256,raw_note,canon_path,canon_sha256,implicit_threshold,implicit_rule,interactions_after_threshold,interactions_after_core,users_after_core,items_after_core,core,preprocessing_order,interactions_reverse_order,preprocess_wall_seconds,preprocess_peak_rss_mib
100000,100000,0,ok,943,1682,MovieLens100K,u.data,06416e597f82b7342361e41163890c81036900f418ad91315590814211dca490,tab-separated user/item/rating/timestamp,D:\Yo\Praktikum ML\AutoRecLab-1\AutoRecLab\study\positive_control\out\canon\MovieLens100K.csv,8866fdf7f3e264872373f1ceb9b1fa5dbd5529b02fc990c7161f4de0757d2dbb,4.0,rating >= 4 (i.e. rating > 3),55375,54413,938,1008,5,MakeImplicit -> CorePruning,55165,0.86,339.4
2565349,2489395,75954,ok,1540618,71982,AmazonVideoGames,VideoGames.csv,c3fec1cce4ee67f0d51f8b53a7e294d8bbe6f75ca1d8732256e900b3c46606d8,"headerless CSV in Amazon-2014 column order: item,user,rating,timestamp",D:\Yo\Praktikum ML\AutoRecLab-1\AutoRecLab\study\positive_control\out\canon\AmazonVideoGames.csv,36a9448a24363e5d0bc21204b6a97210bb10541a7b1906fb2b7cdce7357a5813,4.0,rating >= 4 (i.e. rating > 3),1844699,291945,33621,12455,5,MakeImplicit -> CorePruning,360015,37.193,963.8
186479,71064,115415,71064 timestamps out of range for unit='s' (values look like milliseconds); raw values retained,1892,12523,HetrecLastFM,UserTaggedArtiststimestamps.dat,ec753318e453b15356853674b687da44d9f8c7e1215e1e0ff27aaa5f52e322bd,tab-separated user-tagged-artists; rating synthesised as 1 (implicit),D:\Yo\Praktikum ML\AutoRecLab-1\AutoRecLab\study\positive_control\out\canon\HetrecLastFM.csv,d5d79b81c956ff581fdb09481384dcddbc3d10e903c5f5bafc4753227ebfc261,,n/a - dataset is already implicit,71064,52551,1090,3646,5,CorePruning,52551,0.958,620.2
