dataset,algorithm,seed,cutoff,metric,value
MovieLens100K,LensKit.PopScorer-f4aa5539-29,87,10,NDCG,0.1495896613000231
MovieLens100K,LensKit.PopScorer-f4aa5539-29,87,1,Recall,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-29,87,5,Recall,0.15949098621421023
MovieLens100K,LensKit.PopScorer-f4aa5539-29,87,10,Recall,0.15646492955612756
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-42,87,1,NDCG,0.1919406150583245
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-42,87,5,NDCG,0.18802000117315884
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-42,87,10,NDCG,0.1701395164712348
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-42,87,1,Recall,0.1919406150583245
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-42,87,5,Recall,0.1915341109932836
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-42,87,10,Recall,0.20302773990472775
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-42,87,1,NDCG,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-42,87,5,NDCG,0.2537533498524806
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-42,87,10,NDCG,0.22229996864672735
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-42,87,1,Recall,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-42,87,5,Recall,0.2470130788264398
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-42,87,10,Recall,0.24942601289366909
MovieLens100K,LensKit.PopScorer-f4aa5539-42,87,1,NDCG,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-42,87,5,NDCG,0.17016948593776762
MovieLens100K,LensKit.PopScorer-f4aa5539-42,87,10,NDCG,0.1495896613000231
MovieLens100K,LensKit.PopScorer-f4aa5539-42,87,1,Recall,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-42,87,5,Recall,0.15949098621421023
MovieLens100K,LensKit.PopScorer-f4aa5539-42,87,10,Recall,0.15646492955612756
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-87,87,1,NDCG,0.18875927889713678
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-87,87,5,NDCG,0.17991290023092066
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-87,87,10,NDCG,0.16801605922382995
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-87,87,1,Recall,0.18875927889713678
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-87,87,5,Recall,0.18234358430540826
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-87,87,10,Recall,0.20336354761063097
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-87,87,1,NDCG,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-87,87,5,NDCG,0.2537533498524806
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-87,87,10,NDCG,0.22229996864672735
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-87,87,1,Recall,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-87,87,5,Recall,0.2470130788264398
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-87,87,10,Recall,0.24942601289366909
MovieLens100K,LensKit.PopScorer-f4aa5539-87,87,1,NDCG,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-87,87,5,NDCG,0.17016948593776762
MovieLens100K,LensKit.PopScorer-f4aa5539-87,87,10,NDCG,0.1495896613000231
MovieLens100K,LensKit.PopScorer-f4aa5539-87,87,1,Recall,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-87,87,5,Recall,0.15949098621421023
MovieLens100K,LensKit.PopScorer-f4aa5539-87,87,10,Recall,0.15646492955612756
