dataset,algorithm,seed,cutoff,metric,value
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,29,10,NDCG,0.16211090029899028
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,29,1,Recall,0.19618239660657477
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,29,5,Recall,0.17426652527394837
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,29,10,Recall,0.19651567944250814
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,29,1,NDCG,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,29,5,NDCG,0.2537533498524806
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,29,10,NDCG,0.22229996864672735
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,29,1,Recall,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,29,5,Recall,0.2470130788264398
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,29,10,Recall,0.24942601289366909
MovieLens100K,LensKit.PopScorer-f4aa5539-7,29,1,NDCG,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-7,29,5,NDCG,0.17016948593776762
MovieLens100K,LensKit.PopScorer-f4aa5539-7,29,10,NDCG,0.1495896613000231
MovieLens100K,LensKit.PopScorer-f4aa5539-7,29,1,Recall,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-7,29,5,Recall,0.15949098621421023
MovieLens100K,LensKit.PopScorer-f4aa5539-7,29,10,Recall,0.15646492955612756
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-13,29,1,NDCG,0.19300106044538706
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-13,29,5,NDCG,0.18014381135421417
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-13,29,10,NDCG,0.16789593771205502
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-13,29,1,Recall,0.19300106044538706
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-13,29,5,Recall,0.18324496288441147
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-13,29,10,Recall,0.20633321550606742
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-13,29,1,NDCG,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-13,29,5,NDCG,0.2537533498524806
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-13,29,10,NDCG,0.22229996864672735
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-13,29,1,Recall,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-13,29,5,Recall,0.2470130788264398
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-13,29,10,Recall,0.24942601289366909
MovieLens100K,LensKit.PopScorer-f4aa5539-13,29,1,NDCG,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-13,29,5,NDCG,0.17016948593776762
MovieLens100K,LensKit.PopScorer-f4aa5539-13,29,10,NDCG,0.1495896613000231
MovieLens100K,LensKit.PopScorer-f4aa5539-13,29,1,Recall,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-13,29,5,Recall,0.15949098621421023
MovieLens100K,LensKit.PopScorer-f4aa5539-13,29,10,Recall,0.15646492955612756
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-29,29,1,NDCG,0.18769883351007424
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-29,29,5,NDCG,0.1754079490154996
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-29,29,10,NDCG,0.16474734477713165
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-29,29,1,Recall,0.18769883351007424
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-29,29,5,Recall,0.17769529869211742
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-29,29,10,Recall,0.2014114023127802
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-29,29,1,NDCG,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-29,29,5,NDCG,0.2537533498524806
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-29,29,10,NDCG,0.22229996864672735
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-29,29,1,Recall,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-29,29,5,Recall,0.2470130788264398
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-29,29,10,Recall,0.24942601289366909
MovieLens100K,LensKit.PopScorer-f4aa5539-29,29,1,NDCG,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-29,29,5,NDCG,0.17016948593776762
MovieLens100K,LensKit.PopScorer-f4aa5539-29,29,10,NDCG,0.1495896613000231
MovieLens100K,LensKit.PopScorer-f4aa5539-29,29,1,Recall,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-29,29,5,Recall,0.15949098621421023
MovieLens100K,LensKit.PopScorer-f4aa5539-29,29,10,Recall,0.15646492955612756
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,42,1,NDCG,0.19618239660657477
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,42,5,NDCG,0.1733436902695713
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,42,10,NDCG,0.16211090029899028
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,42,1,Recall,0.19618239660657477
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,42,5,Recall,0.17426652527394837
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,42,10,Recall,0.19651567944250814
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,42,1,NDCG,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,42,5,NDCG,0.2537533498524806
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,42,10,NDCG,0.22229996864672735
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,42,1,Recall,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,42,5,Recall,0.2470130788264398
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,42,10,Recall,0.24942601289366909
MovieLens100K,LensKit.PopScorer-f4aa5539-7,42,1,NDCG,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-7,42,5,NDCG,0.17016948593776762
MovieLens100K,LensKit.PopScorer-f4aa5539-7,42,10,NDCG,0.1495896613000231
MovieLens100K,LensKit.PopScorer-f4aa5539-7,42,1,Recall,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-7,42,5,Recall,0.15949098621421023
MovieLens100K,LensKit.PopScorer-f4aa5539-7,42,10,Recall,0.15646492955612756
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-13,42,1,NDCG,0.19300106044538706
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-13,42,5,NDCG,0.18014381135421417
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-13,42,10,NDCG,0.16789593771205502
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-13,42,1,Recall,0.19300106044538706
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-13,42,5,Recall,0.18324496288441147
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-13,42,10,Recall,0.20633321550606742
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-13,42,1,NDCG,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-13,42,5,NDCG,0.2537533498524806
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-13,42,10,NDCG,0.22229996864672735
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-13,42,1,Recall,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-13,42,5,Recall,0.2470130788264398
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-13,42,10,Recall,0.24942601289366909
MovieLens100K,LensKit.PopScorer-f4aa5539-13,42,1,NDCG,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-13,42,5,NDCG,0.17016948593776762
MovieLens100K,LensKit.PopScorer-f4aa5539-13,42,10,NDCG,0.1495896613000231
MovieLens100K,LensKit.PopScorer-f4aa5539-13,42,1,Recall,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-13,42,5,Recall,0.15949098621421023
MovieLens100K,LensKit.PopScorer-f4aa5539-13,42,10,Recall,0.15646492955612756
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-29,42,1,NDCG,0.18769883351007424
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-29,42,5,NDCG,0.1754079490154996
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-29,42,10,NDCG,0.16474734477713165
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-29,42,1,Recall,0.18769883351007424
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-29,42,5,Recall,0.17769529869211742
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-29,42,10,Recall,0.2014114023127802
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-29,42,1,NDCG,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-29,42,5,NDCG,0.2537533498524806
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-29,42,10,NDCG,0.22229996864672735
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-29,42,1,Recall,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-29,42,5,Recall,0.2470130788264398
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-29,42,10,Recall,0.24942601289366909
MovieLens100K,LensKit.PopScorer-f4aa5539-29,42,1,NDCG,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-29,42,5,NDCG,0.17016948593776762
MovieLens100K,LensKit.PopScorer-f4aa5539-29,42,10,NDCG,0.1495896613000231
MovieLens100K,LensKit.PopScorer-f4aa5539-29,42,1,Recall,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-29,42,5,Recall,0.15949098621421023
MovieLens100K,LensKit.PopScorer-f4aa5539-29,42,10,Recall,0.15646492955612756
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-42,42,1,NDCG,0.1919406150583245
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-42,42,5,NDCG,0.18802000117315884
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-42,42,10,NDCG,0.1701395164712348
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-42,42,1,Recall,0.1919406150583245
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-42,42,5,Recall,0.1915341109932836
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-42,42,10,Recall,0.20302773990472775
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-42,42,1,NDCG,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-42,42,5,NDCG,0.2537533498524806
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-42,42,10,NDCG,0.22229996864672735
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-42,42,1,Recall,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-42,42,5,Recall,0.2470130788264398
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-42,42,10,Recall,0.24942601289366909
MovieLens100K,LensKit.PopScorer-f4aa5539-42,42,1,NDCG,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-42,42,5,NDCG,0.17016948593776762
MovieLens100K,LensKit.PopScorer-f4aa5539-42,42,10,NDCG,0.1495896613000231
MovieLens100K,LensKit.PopScorer-f4aa5539-42,42,1,Recall,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-42,42,5,Recall,0.15949098621421023
MovieLens100K,LensKit.PopScorer-f4aa5539-42,42,10,Recall,0.15646492955612756
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,87,1,NDCG,0.19618239660657477
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,87,5,NDCG,0.1733436902695713
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,87,10,NDCG,0.16211090029899028
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,87,1,Recall,0.19618239660657477
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,87,5,Recall,0.17426652527394837
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,87,10,Recall,0.19651567944250814
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,87,1,NDCG,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,87,5,NDCG,0.2537533498524806
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,87,10,NDCG,0.22229996864672735
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,87,1,Recall,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,87,5,Recall,0.2470130788264398
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,87,10,Recall,0.24942601289366909
MovieLens100K,LensKit.PopScorer-f4aa5539-7,87,1,NDCG,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-7,87,5,NDCG,0.17016948593776762
MovieLens100K,LensKit.PopScorer-f4aa5539-7,87,10,NDCG,0.1495896613000231
MovieLens100K,LensKit.PopScorer-f4aa5539-7,87,1,Recall,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-7,87,5,Recall,0.15949098621421023
MovieLens100K,LensKit.PopScorer-f4aa5539-7,87,10,Recall,0.15646492955612756
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-13,87,1,NDCG,0.19300106044538706
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-13,87,5,NDCG,0.18014381135421417
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-13,87,10,NDCG,0.16789593771205502
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-13,87,1,Recall,0.19300106044538706
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-13,87,5,Recall,0.18324496288441147
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-13,87,10,Recall,0.20633321550606742
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-13,87,1,NDCG,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-13,87,5,NDCG,0.2537533498524806
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-13,87,10,NDCG,0.22229996864672735
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-13,87,1,Recall,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-13,87,5,Recall,0.2470130788264398
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-13,87,10,Recall,0.24942601289366909
MovieLens100K,LensKit.PopScorer-f4aa5539-13,87,1,NDCG,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-13,87,5,NDCG,0.17016948593776762
MovieLens100K,LensKit.PopScorer-f4aa5539-13,87,10,NDCG,0.1495896613000231
MovieLens100K,LensKit.PopScorer-f4aa5539-13,87,1,Recall,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-13,87,5,Recall,0.15949098621421023
MovieLens100K,LensKit.PopScorer-f4aa5539-13,87,10,Recall,0.15646492955612756
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-29,87,1,NDCG,0.18769883351007424
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-29,87,5,NDCG,0.1754079490154996
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-29,87,10,NDCG,0.16474734477713165
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-29,87,1,Recall,0.18769883351007424
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-29,87,5,Recall,0.17769529869211742
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-29,87,10,Recall,0.2014114023127802
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-29,87,1,NDCG,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-29,87,5,NDCG,0.2537533498524806
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-29,87,10,NDCG,0.22229996864672735
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-29,87,1,Recall,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-29,87,5,Recall,0.2470130788264398
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-29,87,10,Recall,0.24942601289366909
MovieLens100K,LensKit.PopScorer-f4aa5539-29,87,1,NDCG,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-29,87,5,NDCG,0.17016948593776762
