dataset,algorithm,algorithm_class,seed,metric,k,value
MovieLens100K,MostPopular,lenskit.basic.PopScorer,7,nDCG,1,0.20575692963752665
MovieLens100K,MostPopular,lenskit.basic.PopScorer,7,Precision,1,0.20575692963752665
MovieLens100K,MostPopular,lenskit.basic.PopScorer,7,nDCG,5,0.16073824207336557
MovieLens100K,MostPopular,lenskit.basic.PopScorer,7,Precision,5,0.1447761194029851
MovieLens100K,MostPopular,lenskit.basic.PopScorer,7,nDCG,10,0.1556910079201683
MovieLens100K,MostPopular,lenskit.basic.PopScorer,7,Precision,10,0.12068230277185503
MovieLens100K,MostPopular,lenskit.basic.PopScorer,13,nDCG,1,0.21428571428571427
MovieLens100K,MostPopular,lenskit.basic.PopScorer,13,Precision,1,0.21428571428571427
MovieLens100K,MostPopular,lenskit.basic.PopScorer,13,nDCG,5,0.16993038477981035
MovieLens100K,MostPopular,lenskit.basic.PopScorer,13,Precision,5,0.1526652452025586
MovieLens100K,MostPopular,lenskit.basic.PopScorer,13,nDCG,10,0.16402865220744728
MovieLens100K,MostPopular,lenskit.basic.PopScorer,13,Precision,10,0.12569296375266525
MovieLens100K,MostPopular,lenskit.basic.PopScorer,29,nDCG,1,0.2025586353944563
MovieLens100K,MostPopular,lenskit.basic.PopScorer,29,Precision,1,0.2025586353944563
MovieLens100K,MostPopular,lenskit.basic.PopScorer,29,nDCG,5,0.1613541108731742
MovieLens100K,MostPopular,lenskit.basic.PopScorer,29,Precision,5,0.14584221748400852
MovieLens100K,MostPopular,lenskit.basic.PopScorer,29,nDCG,10,0.1565506985968169
MovieLens100K,MostPopular,lenskit.basic.PopScorer,29,Precision,10,0.1208955223880597
MovieLens100K,MostPopular,lenskit.basic.PopScorer,42,nDCG,1,0.2025586353944563
MovieLens100K,MostPopular,lenskit.basic.PopScorer,42,Precision,1,0.2025586353944563
MovieLens100K,MostPopular,lenskit.basic.PopScorer,42,nDCG,5,0.15410043959801947
MovieLens100K,MostPopular,lenskit.basic.PopScorer,42,Precision,5,0.13603411513859273
MovieLens100K,MostPopular,lenskit.basic.PopScorer,42,nDCG,10,0.1533984644403029
MovieLens100K,MostPopular,lenskit.basic.PopScorer,42,Precision,10,0.11769722814498934
MovieLens100K,MostPopular,lenskit.basic.PopScorer,87,nDCG,1,0.20042643923240938
MovieLens100K,MostPopular,lenskit.basic.PopScorer,87,Precision,1,0.20042643923240938
MovieLens100K,MostPopular,lenskit.basic.PopScorer,87,nDCG,5,0.15838422034677951
MovieLens100K,MostPopular,lenskit.basic.PopScorer,87,Precision,5,0.1415778251599147
MovieLens100K,MostPopular,lenskit.basic.PopScorer,87,nDCG,10,0.15275828675587752
MovieLens100K,MostPopular,lenskit.basic.PopScorer,87,Precision,10,0.1189765458422175
