dataset,algorithm,algorithm_class,seed,metric,k,value
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,7,Precision,1,0.10341151385927505
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,7,Precision,5,0.07739872068230276
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,7,Precision,10,0.0744136460554371
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,7,nDCG,1,0.10341151385927505
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,7,nDCG,5,0.08691168288818044
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,7,nDCG,10,0.09633250439424985
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,13,Precision,1,0.10980810234541578
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,13,Precision,5,0.08251599147121534
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,13,Precision,10,0.07867803837953093
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,13,nDCG,1,0.10980810234541578
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,13,nDCG,5,0.09424344378942044
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,13,nDCG,10,0.10401263694075445
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,29,Precision,1,0.10021321961620469
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,29,Precision,5,0.08038379530916845
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,29,Precision,10,0.07505330490405118
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,29,nDCG,1,0.10021321961620469
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,29,nDCG,5,0.08899354022318177
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,29,nDCG,10,0.09721458241992563
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,42,Precision,1,0.10127931769722814
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,42,Precision,5,0.076545842217484
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,42,Precision,10,0.07025586353944563
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,42,nDCG,1,0.10127931769722814
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,42,nDCG,5,0.08640756905735433
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,42,nDCG,10,0.09460510292280505
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,87,Precision,1,0.10980810234541578
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,87,Precision,5,0.08017057569296375
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,87,Precision,10,0.07515991471215352
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,87,nDCG,1,0.10980810234541578
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,87,nDCG,5,0.08912753818247393
MovieLens100K,MostPopular,omnirec.runner.algos.LensKit.ItemKNNScorer,87,nDCG,10,0.09669174491498096
